sigla, unidad_curricular, curso_modulo
DPII-VW, Desenvolvimento de Projetos II, 4° APT Administração VW
MMA-G, Manutenção Mecânica Aplicada, 3° APT Mecânica Gestamp
MSM-2E, Montagem de Sistemas Mecânicos, 2° Eletromecânica EAD - Sábado
PS-3M, Processos de Soldagem, 3° Téc Mecânica Presencial
SOL - T1, Teoria da Soldagem, Soldador - Turma 1
SOL - P1, Prática de Soldagem, Soldador - Turma 1
SOL - T2, Teoria da Soldagem, Soldador - Turma 2
SOL - P2, Prática de Soldagem, Soldador - Turma 2
PS-3N, Processos de Soldagem- UC Manutenção Mecânica Aplicada, 3° Téc Mecânica Presencial
FTM-AP, Fundamentos da Tecnologia Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
ICSCM-AP, Introdução a Corte Soldagem e Conformação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FQ1, Ferramentas da Qualidade, Ferramentas da Qualidade 1
MPP2Q, Monitoramento de Processos e Produtos (APP), 2° Qualidade EAD - Segunda
FORMS, Boas Práticas - Forms , Treinamento
TMAT1, Tecnologia dos Materiais, OPP - Turma 1
SAEPO4M, SAEP - PROVA OBJETIVA, 4° Mecânica EAD - Sábado
SAEPO4M, SAEP - PROVA PRÁTICA, 4° Mecânica EAD - Sábado
ACB-CG, Aperfeiçoamento em AutoCad Básico, Treinamento Cristal Glass
LID-SO2, Leitura e Interpretação de Desenho, Soldador - Turma 2
MSM-2EQ, Montagem de Sistemas Mecânicos, 2° Eletromecânica EAD - Quarta
SOL - P2, Prática de Soldagem, Soldador - Turma 2
LID-SO3, Leitura e Interpretação de Desenho, Soldador - Turma 3
SOL - T3, Teoria da Soldagem, Soldador - Turma 3
SOL - P3, Prática de Soldagem, Soldador - Turma 3
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
SOL - T4, Teoria da Soldagem, Soldador - Turma 4
SOL - P4, Prática de Soldagem, Soldador - Turma 4
FTM-AP, Fundamentos da Tecnologia Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
ICSCM-AP, Processos de Fabricação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
PS-3M, Processos de Soldagem, 2° Mecânica Presencial
LID-MILLS, Leitura e Interpretação de Desenho, TransFORMAR 2025.1 - Mills
FTMI-1EQN, Fundamentos da Tecnologia Mecânica I, 1° Téc. Eletromecânica EAD - Quinta Noite
FTMII-1EQN, Fundamentos da Tecnologia Mecânica II, 1° Téc. Eletromecânica EAD - Quinta Noite
